window_id,category,cut3r_trained_iou,cut3r_random_iou,dinov2_iou,delta_cut3r_trained_minus_cut3r_random,delta_cut3r_trained_minus_dinov2,delta_cut3r_random_minus_dinov2
window-027b7da097350301d8a4,plant,0.9722222222222222,0.02564102564102564,0.9423076923076923,0.9465811965811965,0.02991452991452992,-0.9166666666666666
window-0766f7af4823c9860b53,umbrella,0.9790209790209791,0.8642857142857143,0.9081632653061225,0.11473526473526474,0.07085771371485661,-0.043877551020408134
window-0dd3581a5328bb8e8c1e,teddybear,0.9477124183006536,0.0,0.9375,0.9477124183006536,0.010212418300653558,-0.9375
window-0f149b2ce658ad3ba4a1,toytruck,0.780952380952381,0.20125786163522014,0.7571428571428571,0.5796945193171608,0.023809523809523836,-0.555884995507637
window-0fbaa5858874d3f4ed40,carrot,0.14054054054054055,0.24074074074074073,0.8780487804878049,-0.10020020020020018,-0.7375082399472643,-0.6373080397470642
window-19e443d48d6cd4048287,book,0.5098039215686274,0.006711409395973154,0.8974358974358975,0.5030925121726543,-0.38763197586727005,-0.8907244880399243
window-1efda0f7c01bc1a1119d,umbrella,0.9877300613496932,0.0,0.9672897196261683,0.9877300613496932,0.020440341723524935,-0.9672897196261683
window-1f6470be161f7eb7fea9,book,0.23875432525951557,0.264,0.9042553191489362,-0.025245674740484447,-0.6655009938894206,-0.6402553191489362
window-2172edd3065dfee25f7d,toyplane,0.9,0.009823182711198428,0.8461538461538461,0.8901768172888016,0.05384615384615388,-0.8363306634426477
window-25eba1dd53450bcc3d9c,sandwich,0.9057971014492754,0.0546875,0.9298245614035088,0.8511096014492754,-0.024027459954233388,-0.8751370614035088
window-276748d03295c2b17d7d,hydrant,0.907103825136612,0.0,0.9083333333333333,0.907103825136612,-0.0012295081967212962,-0.9083333333333333
window-283ca557947f01d766bd,cup,0.48148148148148145,0.7857142857142857,0.6153846153846154,-0.30423280423280424,-0.13390313390313396,0.17032967032967028
window-2843375258fa7145f154,bench,0.813953488372093,0.0784313725490196,0.7704918032786885,0.7355221158230734,0.043461685093404534,-0.6920604307296689
window-2aaa27bbf3183fe7aacf,hydrant,0.8518518518518519,0.01020408163265306,0.8738738738738738,0.8416477702191988,-0.02202202202202197,-0.8636697922412208
window-2dd1ac6ffb727be10650,kite,0.975,0.17721518987341772,0.8962264150943396,0.7977848101265823,0.07877358490566033,-0.719011225220922
window-343a793b776a2def0916,plant,0.9642857142857143,0.8771929824561403,0.8974358974358975,0.087092731829574,0.06684981684981683,-0.020242914979757165
window-35bba4bf2bd7528296bb,cake,0.9,0.04411764705882353,0.9285714285714286,0.8558823529411765,-0.02857142857142858,-0.8844537815126051
window-3a3ec2660f143528d1d4,frisbee,0.3179190751445087,0.12585812356979406,0.9605263157894737,0.19206095157471462,-0.642607240644965,-0.8346681922196796
window-3a6404a390250950bc92,book,0.9714285714285714,0.5208333333333334,0.9565217391304348,0.45059523809523805,0.014906832298136607,-0.43568840579710144
window-3bcb9592402c0b276fda,mouse,0.9,0.0,0.9016393442622951,0.9,-0.0016393442622950616,-0.9016393442622951
window-3de574b964f1addd88d2,bowl,0.7,0.0374331550802139,0.5726141078838174,0.662566844919786,0.12738589211618256,-0.5351809528036034
window-3ea361af8ff3a780a2be,book,0.9822485207100592,0.05573770491803279,0.954337899543379,0.9265108157920264,0.027910621166680194,-0.8986001946253462
window-42df1d1ec1ab8ff9065f,chair,0.7669491525423728,0.08936170212765958,0.7719869706840391,0.6775874504147132,-0.0050378181416662615,-0.6826252685563795
window-446db9f93ed33355c79e,toilet,0.06993006993006994,0.08333333333333333,0.32608695652173914,-0.013403263403263393,-0.2561568865916692,-0.24275362318840582
window-499d9c31313d046cde78,plant,0.9375,0.6272727272727273,0.8972602739726028,0.3102272727272727,0.04023972602739723,-0.26998754669987546
window-4b7a9ffcccc1ecad5e3c,chair,0.8176470588235294,0.6436781609195402,0.7816593886462883,0.17396889790398917,0.03598767017724114,-0.13798122772674803
window-4b9956d60854e17b1824,teddybear,0.9494949494949495,0.21487603305785125,0.9153846153846154,0.7346189164370982,0.03411033411033415,-0.700508582326764
window-4bbad8b3636b0213ef54,stopsign,0.782608695652174,0.2608695652173913,0.90625,0.5217391304347827,-0.12364130434782605,-0.6453804347826086
window-4d18b02fa01d9ce52343,toytruck,0.8787878787878788,0.5402298850574713,0.8765432098765432,0.3385579937304075,0.002244668911335568,-0.33631332481907195
window-5221225153ea6398305e,plant,0.9215686274509803,0.6986301369863014,0.9064039408866995,0.22293849046467895,0.015164686564280827,-0.20777380390039812
window-5ac30b28ec9b1810139d,hydrant,0.8260869565217391,0.045454545454545456,0.8529411764705882,0.7806324110671937,-0.026854219948849067,-0.8074866310160428
window-5d11c7233d96827da6a5,wineglass,0.8571428571428571,0.01694915254237288,0.7735849056603774,0.8401937046004843,0.08355795148247969,-0.7566357531180046
window-5fcb27f2d898bb4c493e,cup,0.6875,0.0,0.8787878787878788,0.6875,-0.19128787878787878,-0.8787878787878788
window-5fcc7537426a6bae39aa,toytruck,0.9340659340659341,0.7368421052631579,0.9133858267716536,0.19722382880277622,0.020680107294280492,-0.17654372150849573
window-61b096a51185c5d56d72,stopsign,0.8571428571428571,0.0,1.0,0.8571428571428571,-0.1428571428571429,-1.0
window-62014f9bfb93fd6c291f,baseballbat,0.5675675675675675,0.36,0.32222222222222224,0.20756756756756756,0.2453453453453453,0.037777777777777743
window-62f39c58cfbf18bb01fb,frisbee,0.9986979166666666,0.03125,0.9715120525931337,0.9674479166666666,0.02718586407353296,-0.9402620525931337
window-64e8d8fb05da0166398b,bench,0.9365079365079365,0.23387096774193547,0.6894409937888198,0.702636968766001,0.24706694271911667,-0.45557002604688435
window-66d0a3929ba8a92e2d42,umbrella,0.968299711815562,0.3227665706051873,0.975929978118162,0.6455331412103746,-0.007630266302599997,-0.6531634075129746
window-67ceebf6f3f4a28200d7,toyplane,0.875,0.0,0.8695652173913043,0.875,0.005434782608695676,-0.8695652173913043
window-693a9cc0fabdf476b331,apple,0.9565217391304348,0.8106508875739645,0.9318181818181818,0.14587085155647028,0.024703557312253044,-0.12116729424421724
